leiden_0_4,n_cells,final_structured_label,free_label,needs_human_review,human_review_reason,free_label_reason,review_decision,reviewed_structured_label,reviewed_label_short,reviewed_label_detail,discrepancy_flags,review_reason,confidence_score,needs_human_review_reviewed,human_review_reason_reviewed
0,49483,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_possible_myeloid_contamination,True,"Mixed signals: clear NK cytotoxic program vs strong myeloid marker expression and depleted EOMES/NCAM1 — require human curation to resolve contamination vs true biology.; Epithelial markers are highly enriched in cluster 23 and could reflect ambient contamination, doublets, or true tissue-resident NK transcriptional interaction; recommend manual QC (doublet detection / ambient RNA assessment) and contextual review.","Strong NK cytotoxic signature (high GNLY, NKG7, FGFBP2, GZMH) and taxonomy match to NK1; state match Cytotoxic_activated. However, strong myeloid markers S100A8/S100A9/LYZ and many mitochondrial genes indicate possible contamination or stressed cells. Pairwise split audit: Pairwise DE and cluster markers support NK1 Cytotoxic_activated identity (high GNLY, NKG7, FGFBP2, GZMH) while showing myeloid marker signal (S100A8, S100A9, LYZ) and elevated mitochondrial/stress genes. Pairwise comparison to cluster 23 preserves NK cytotoxic program but highlights myeloid/stress features unique to cluster 0, consistent with possible myeloid contamination or stressed NK cells.",keep,NK1_Cytotoxic_activated,NK1_Cytotoxic_contam_myeloid,"Strong NK cytotoxic program (GNLY, NKG7, GZMB/GZMH, PRF1, FGFBP2) with concurrent myeloid/monocyte markers (S100A8/A9, LYZ, FCN1) and high mitochondrial signal — likely myeloid contamination or doublets in blood.",possible_contamination; marker_label_mismatch,"First-pass labeled NK1_Cytotoxic_activated; DE shows robust NK cytotoxic markers (NKG7, GNLY, GZMB, GZMH, PRF1, FGFBP2) supporting the NK1 cytotoxic call, but substantial myeloid/monocyte markers (S100A8/A9, LYZ, FCN1) and elevated mitochondrial genes in this largely blood-derived cluster indicate probable myeloid contamination or doublets.",3,True,"Mixed NK and myeloid signals in a blood cluster — recommend manual QC (doublet detection, ambient RNA assessment) and contextual review to resolve contamination vs true mixed/transcriptional interaction."
1,8720,cNK_Proliferating,cNK_Proliferating_cycling_cytotoxic_NK,True,T-lineage marker positivity (CD3 genes) despite strong NK marker expression and proliferation signature warrants inspection for doublets/annotation ambiguity.,"Strong, specific proliferation program (MKI67, TOP2A, PCNA, TYMS, RRM2, etc.) and taxonomy state match = Proliferating; pan-NK markers (GNLY, NKG7, GZMA/B, PRF1, FCGR3A, KLRF1) are broadly detected and NK cytotoxic module is high, and cluster is blood-enriched, consistent with circulating NKs undergoing cell cycle.",keep,cNK_Proliferating,cNK_Proliferating,"Dominant cell-cycle/proliferation program (MKI67, PCNA, TOP2A); NK identity not strongly supported in top markers — verify doublets/contamination",marker_label_mismatch; possible_contamination,"First-pass labeled cNK_Proliferating citing strong proliferation genes and asserted pan-NK markers, but marker DE shows a dominant proliferation signature (MKI67, PCNA, TOP2A, many cell-cycle genes) with few/no canonical NK cytotoxic markers among top hits; cluster is blood-enriched. Keep proliferating cNK label but requires manual verification of NK identity/doublets.",3,True,"Top markers are overwhelmingly cell-cycle genes with few canonical NK markers despite first-pass note of CD3 positivity; inspect for T/NK doublets or misannotation and check canonical NK/T markers (GNLY, NKG7, GZMA/B, PRF1, CD3 genes)."
2,47134,NK1_Cytotoxic_activated,NK1_Cytotoxic_activated_FGFBP2+_GZMH+_blood,True,TRBC1 positivity and pervasive mitochondrial upregulation raise the possibility of T-cell contamination/doublets or technical stress; recommend manual review to confirm true NK lineage and exclude artifacts.; Pairwise DE supports a distinct free label.,"Strong positive DE of NK cytotoxic program genes (FGFBP2, GZMH, NKG7, GNLY) and taxonomy matching (NK1 strong). Top DE and curated marker means show high NK_cytotoxic and individual cytotoxic genes; cluster is blood-enriched supporting circulating cytotoxic NKs. Pairwise split audit: Pairwise DE and cluster summaries support circulating cytotoxic NKs: strong NK cytotoxic program (FGFBP2, GZMH, NKG7, GNLY; curated NK_cytotoxic mean 3.69), top tissue = blood (93% of cells). The pairwise comparison shows absence of lung-specific epithelial markers that define cluster 23; mitochondrial differences dominate some DE but reflect tissue/batch differences rather than loss of NK identity.",keep,NK1_Cytotoxic_activated,NK1_Cytotoxic_TRBC1+_mito,"Circulating cytotoxic NK1 (FGFBP2,GZMH,NKG7,GNLY) with high mitochondrial program and TRBC1 signal; potential T-cell contamination/doublets",possible_contamination,"First-pass labeled NK1_Cytotoxic_activated supported by strong NK cytotoxic markers (FGFBP2, GZMH, NKG7, GNLY, FCGR3A) and blood enrichment (93%). However TRBC1 is upregulated in ~62% of cells and multiple mitochondrial genes are highly elevated, raising concern for T-cell contamination/doublets or technical mitochondrial stress; retain NK label but flag for review.",3,True,Prominent TRBC1 expression across many cells and pervasive mitochondrial gene upregulation — verify true NK identity and exclude T-cell doublets or stress artifacts.
4,26628,NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory_decidual_chemokine-producing_NK,True,"Mixed lineage signals: although NK2/chemokine program is strong (XCL1/XCL2/KLRC1), sizable stromal/epithelial marker enrichment (LUM, DCN, COL1A1) and T marker presence raise concern for doublets or mis-clustering; recommend manual inspection (UMAP, protein/ADTs if available) and filtering.","Strong enrichment of chemokine/regulatory NK markers (XCL1, XCL2, KLRC1) and taxonomy top-match NK2; marker program hits include XCL1/XCL2/CCL3/CCL4. Pan-NK summary shows broadly preserved NK program (median pan-NK logFC positive, high pct_nz). Negative DE for cytotoxic NK genes (FGFBP2, FCGR3A) supports a non-cytotoxic, regulatory/chemokine NK phenotype in tissue.",keep,NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory,Decidual chemokine-producing NK2 profile; stromal/myeloid/T contamination suspected,possible_contamination; marker_label_mismatch,"First-pass labeled NK2_Chemokine_inflammatory based on strong XCL1/XCL2/KLRC1 and chemokine program (CCL3/CCL4) and preserved pan-NK signal; however cluster DE also shows notable stromal/epithelial markers (LUM, DCN, KRT81/KRT86), myeloid genes (C1QA, CSF1) and TRDC, consistent with doublets or mis-clustering in a decidua-enriched dataset. Given coherent NK chemokine program, retain NK2 label but flag for manual review.",3,True,"Mixed lineage signals: stromal (LUM, DCN, KRT81/86), myeloid (C1QA, CSF1) and TRDC present with NK chemokine program — inspect UMAP, doublet rates, and protein/ADT if available."
5,10058,L6_Developmental_immature_Proliferating,Developmental_immature_Proliferating_cord_blood,True,"T-cell markers (TRAC, CD3E) are positive while key NK cytotoxic markers are depleted; confirm whether this cluster represents proliferating immature NKs vs proliferating T cells or doublets in cord blood.","Strong, specific proliferation program (MKI67, TOP2A, TYMS, CDK1, MCM7) with immature/lymphoid/activation markers (IL2RA, CCR7, IRF4, TOX2) consistent with proliferating developmental/immature NKs in cord blood. Weak NK2 support via CCR7 and MYC context; pan-NK cytotoxic markers KLRF1 and NKG7 are depleted but many pan-NK markers remain detected, so best call is developmental/immature NK in a proliferative state, with possible T-lineage signal needing review.",revise,Non-NK,T_proliferating_cord_blood,Proliferative lymphoid cluster with strong IL2RA/CCR7/IRF4 and reported TRAC/CD3E; NK cytotoxic markers depleted,marker_label_mismatch; possible_contamination,"First-pass labeled this as developmental_immature_proliferating NK due to strong proliferation program, but marker evidence shows high IL2RA/IRF4/CCR7 and the first-pass notes TRAC/CD3E positivity while key NK cytotoxic markers (KLRF1, NKG7, GZMH, FGFBP2) are depleted in this cord blood-dominant cluster — consistent with proliferating T cells or mixed doublets; revise to Non-NK.",3,True,"Confirm T-lineage (TRAC/CD3E) vs immature NK identity and exclude doublets/contamination (e.g., CD68/AIF1 signal) using additional lineage markers or protein data."
6,9557,NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory_AREG+_cytotoxic_mito_stress,True,"Erythroid gene co-expression and strong mitochondrial/stress signature could reflect doublets, ambient RNA, or stressed NK cells; NK2/Chemokine_inflammatory assignment is plausible but uncertain and should be validated.; Cluster 6 shows erythroid marker signal; cluster 13 shows CD3E/T signal — review for doublets/contamination and confirm tissue-residency assignment with orthogonal markers.","Taxonomy hits (IL7R core, AREG support) point to NK2; state hit CCL4 supports Chemokine_inflammatory. Strong NK cytotoxic program present in curated means (NKG7, GNLY, GZMB, PRF1) despite modest median pan-NK logFC. Top DE shows AREG, FKBP5, CCL4 and elevated mitochondrial genes, consistent with activated/stressed chemokine-producing NK subset. However, erythroid markers (HBB, HBA1/2) are also enriched, suggesting contamination or mixed signal. Pairwise split audit: Pairwise DE (6_vs_13) shows strong enrichment of canonical circulating/cytotoxic NK markers (FGFBP2, FCGR3A, KLRF1) and AREG/LINC‑PINT in cluster 6 vs cluster 13, together with elevated mitochondrial genes and FKBP5/CCL4 in top DE and curated means. These signatures indicate a chemokine-producing NK2-like population with retained cytotoxic program and mitochondrial stress, distinct from the XCL1/XCL2+ IFN/tissue-resident profile of cluster 13. Note: erythroid markers (HBB, HBA1/2) are detected and suggest possible contamination that should be considered.",keep,NK2_Chemokine_inflammatory,NK2_Chemokine_mito_stress,"Chemokine-producing NK2 (AREG+, CCL4+) with strong mitochondrial/stress signature; retains core cytotoxic markers but shows depletion vs other NK clusters; possible erythroid/epithelial contamination",marker_label_mismatch; possible_contamination,"First-pass called NK2_Chemokine_inflammatory supported by strong CCL4 and AREG upregulation and presence of ZBTB16; mitochondrial genes (MT-ATP6/ND2/ND3) are highly enriched indicating stress. Core cytotoxic markers (GNLY, NKG7) are present in the cluster but have modest negative logFC vs rest (not strongly DE-enriched), and metadata/top markers (SFTPC, lung tissue signal) plus reported erythroid genes suggest possible doublet/ambient contamination. Given mixed signals, keep NK2_Chemokine_inflammatory but flag for human review.",3,True,Confirm NK identity vs erythroid/epithelial doublets or ambient RNA given high mitochondrial/stress signature and depleted pan-NK DE; validate AREG+/CCL4+ NK state with orthogonal markers.
7,1361,cNK_ER_stress_UPR,Stressed_kidney_epithelial_likely_tubular_cells,True,"Conflicting signals: robust epithelial/stress DE and KRT8/KRT19 vs elevated curated GNLY/NKG7 means. Recommend review for doublets, ambient cytotoxic transcript contamination, and validation of epithelial marker expression at single-cell level.","Top positive DE genes are epithelial/kidney-associated and stress/mitochondrial: FXYD2, GSTA1, GPX3, PDZK1IP1, APOE and strong mitochondrial genes (MT-*) and heat-shock genes (HSPA1A/HSPA1B/DNAJB1). Non-NK marker summary matched Stromal_Epithelial (KRT8, KRT19). Pan-NK markers are overall depleted (strong depletion of NCAM1, EOMES, PRF1), and taxonomy hit indicates ER_stress_UPR support. Together these indicate an epithelial, stressed cell population rather than an NK subtype.",revise,Non-NK,Kidney_tubular_epithelial_stress,Renal tubular/epithelial cells with strong ER/mitochondrial stress and heat-shock signature; NK markers depleted,structured_free_mismatch; marker_label_mismatch; possible_contamination,"First-pass structured label called cNK_ER_stress_UPR but top DE genes are epithelial/kidney-associated (FXYD2, GSTA1, GPX3, PDZK1IP1, APOE) with strong mitochondrial and heat-shock signatures and dataset/tissue = kidney (99%). Pan-NK markers are depleted (PRF1, IL2RB, CD3E down) and taxonomy matched ER_stress_UPR; evidence supports non-NK epithelial identity rather than a cNK subtype.",4,True,"Verify epithelial identity (e.g., KRT8/KRT19 at single-cell level) and assess doublets or ambient NK transcript contamination (IFNG/other cytotoxic transcripts)."
8,9537,NK2_Chemokine_inflammatory,NK2_chemokine-rich_low-cytotoxic_tissue-associated,True,"Ambiguity between NK2 and tissue-resident (trNK) identity due to strong CXCR6 and tissue enrichment; recommend orthogonal marker checks (e.g., CD49a, CD69, KIRs) or protein data to confirm.","Cluster shows strong positive expression of chemokine/tissue-associated NK markers (CXCR6, XCL1, XCL2, KLRB1) and GZMK, while classic cytotoxic pan-NK genes are depleted (GNLY, GZMB, PRF1). Taxonomy matching: NK2 (strong) and Chemokine_inflammatory (moderate). No strong non-NK lineage signal.",keep,NK2_Chemokine_inflammatory,NK2_Chemokine_CXCR6+,"Chemokine-rich NK2 (high CXCR6, XCL1/2, GZMK) with low canonical cytotoxic genes; spleen-enriched; possible tissue-resident phenotype",marker_label_mismatch,"First-pass labeled NK2_Chemokine_inflammatory driven by strong XCL1/XCL2 and GZMK and depleted GNLY/GZMB/PRF1. Marker evidence supports this (very high CXCR6, XCL1/2, KLRB1, EOMES) but the very strong CXCR6 and spleen enrichment raise ambiguity with trNK identity; no strong non-NK lineage signals.",3,True,"Strong CXCR6 and tissue (spleen) enrichment suggest tissue-resident NK (trNK) possibility — recommend orthogonal checks (CD69, ITGA1/CD49a, KIRs or protein-level data) to confirm residency vs NK2 assignment."
9,24357,NK1_Checkpoint_exhausted,Myeloid-like_S100A8_S100A9_LYZ_with_high_mitochondrial_gene_expression,True,Confirm that myeloid marker expression is not driven solely by ambient RNA or dying-cell mitochondrial reads (check percent mito per cell and QC); validate LYZ/S100A8/S100A9 expression distribution and rule out mixed NK/myeloid doublets or annotation artifacts.,"Cluster shows clear positive myeloid marker signal (S100A8, S100A9, LYZ; median positive logFC ~1.59) and multiple myeloid markers passing logFC>=1. Pan-NK markers are strongly depleted (GZMA, NKG7, EOMES, KLRF1; median pan-NK logFC = -1.02). The top positive genes are dominated by mitochondrial genes (MT-CO1, MT-CO2, MT-CYB, MT-ND*), consistent with a high-mitochondrial / stress signature rather than an NK subtype program. Taxonomy matches (CX3CR1, ZEB2) are weak and do not overcome the strong myeloid signal and pan-NK depletion.",revise,Non-NK,Myeloid_stressed_high_mito,S100A8/S100A9 myeloid signature with strong mitochondrial/stress program and depletion of core pan-NK markers,structured_free_mismatch; marker_label_mismatch; possible_contamination,"First-pass labeled NK1_Checkpoint_exhausted but top positive genes are mitochondrial and S100A8/S100A9 (logFC ~2.05) with many MT genes highly up; core pan-NK markers (NKG7, GZMA, GZMB, GNLY) are depleted. Cluster is predominantly blood — evidence supports a myeloid/stressed or contaminated non-NK population.",4,True,"Confirm myeloid vs high-mitochondrial dying-cell/ambient RNA: inspect percent mito per cell, LYZ distribution, S100A8/A9 expression patterns, and doublet/ambient signatures."
10,38400,NK1_Chemokine_inflammatory,NK1_Chemokine_inflammatory_CX3CR1+_FCGR3A+_cytotoxic_CCL4-high,True,"Resolve presence of T-cell and epithelial marker signals (TRBC1, CD3G, SFTPC, SCGB1A1) that could indicate doublets/contamination; confirm NCAM1 depletion is biological or technical.","Strong positive DE of CCL4, FGFBP2, SPON2 and taxonomy core hits for NK1 (CX3CR1, FCGR3A, FGFBP2, GZMB, SPON2). Pan-NK markers (NKG7, GNLY, GZMB, PRF1) are highly expressed. Chemokine_inflammatory state supported by high CCL4/CCL5/CCL3.",keep,NK1_Chemokine_inflammatory,NK1_Chemokine_inflammatory_contam,Chemokine-high cytotoxic NK1 signature (CCL4/CCL5/FGFBP2/GZMB) with strong lung epithelial (SFTPC/SCGB1A1/SFTPA1/2/B) and some T-cell (TRBC1) signals suggesting contamination/doublets,possible_contamination; marker_label_mismatch,"First-pass called NK1_Chemokine_inflammatory supported by strong NK core and chemokine markers (CCL4/CCL5/FGFBP2/GZMB/PRF1/NKG7/FCGR3A/CX3CR1). However many lung epithelial markers (SFTPC, SFTPA1/2/B, SCGB1A1, SCGB3A2) and TRBC1 are also highly up, and mitochondrial genes are strongly depleted, consistent with epithelial/T-cell contamination or doublets in a lung dataset (95% lung).",3,True,"Verify whether epithelial and TRBC1 signals reflect true NK state, doublets, or ambient contamination; confirm biological NCAM1 status and whether to split/remove contaminated cells."
